Symbol,PnL,First Trade,First Trade,Last Trade,Last Trade,Pos,Total V,Total Ex,Event,,,,,,,Tick Value,,
ESU24,$75.00,2024-08-07T14:54:58+00:00,7:54:58 AM,2024-08-07T14:55:03+00:00,7:55:03 AM,long,6,6,Full Win,,,,,,,$1.25,,
ESU24,-$112.50,2024-08-07T14:56:31+00:00,7:56:31 AM,2024-08-07T14:56:58+00:00,7:56:58 AM,long,6,6,Target 1,,,,,,,,,
ESU24,$75.00,2024-08-07T14:59:19+00:00,7:59:19 AM,2024-08-07T14:59:24+00:00,7:59:24 AM,long,6,6,Full Win,,,,,,,Total Trades,,
ESU24,$75.00,2024-08-07T15:01:36+00:00,8:01:36 AM,2024-08-07T15:01:51+00:00,8:01:51 AM,long,6,6,Full Win,,,,,,,21,,
ESU24,$75.00,2024-08-07T15:10:56+00:00,8:10:56 AM,2024-08-07T15:11:02+00:00,8:11:02 AM,long,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-07T15:13:41+00:00,8:13:41 AM,2024-08-07T15:13:46+00:00,8:13:46 AM,long,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-07T17:07:31+00:00,10:07:31 AM,2024-08-07T17:07:56+00:00,10:07:56 AM,short,6,6,Full Win,,,,,,,,,
ESU24,-$300.00,2024-08-07T17:13:19+00:00,10:13:19 AM,2024-08-07T17:13:26+00:00,10:13:26 AM,short,6,6,Full Loss,,,,,,,,,
ESU24,$75.00,2024-08-07T17:16:48+00:00,10:16:48 AM,2024-08-07T17:17:08+00:00,10:17:08 AM,short,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-08T16:10:13+00:00,9:10:13 AM,2024-08-08T16:11:05+00:00,9:11:05 AM,short,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-08T15:55:01+00:00,8:55:01 AM,2024-08-08T15:55:10+00:00,8:55:10 AM,long,6,6,Full Win,,,Event,Prob,q1 Ticks,q2 ticks,q3 ticks,PnL,Count
ESU24,$75.00,2024-08-08T15:47:05+00:00,8:47:05 AM,2024-08-08T15:47:07+00:00,8:47:07 AM,short,6,6,Full Win,,,Full Win,0.81,1,2,3,$7.50,17
ESU24,$75.00,2024-08-08T15:28:41+00:00,8:28:41 AM,2024-08-08T15:28:52+00:00,8:28:52 AM,long,6,6,Full Win,,,Target 1,0.05,1,-5,-5,-$11.25,1
ESU24,$75.00,2024-08-08T14:54:59+00:00,7:54:59 AM,2024-08-08T14:55:00+00:00,7:55:00 AM,long,6,6,Full Win,,,Target 2,0.00,,,,$0.00,0
ESU24,-$300.00,2024-08-08T14:42:19+00:00,7:42:19 AM,2024-08-08T14:42:38+00:00,7:42:38 AM,long,6,6,Full Loss,,,Full Loss,0.14,-8,-8,-8,-$30.00,3
ESU24,$75.00,2024-08-09T14:24:03+00:00,7:24:03 AM,2024-08-09T14:24:09+00:00,7:24:09 AM,long,6,6,Full Win,,,,,,,,,
ESU24,-$300.00,2024-08-09T14:36:48+00:00,7:36:48 AM,2024-08-09T14:36:55+00:00,7:36:55 AM,short,6,6,Full Loss,,,,,,,,,
ESU24,$75.00,2024-08-09T14:43:09+00:00,7:43:09 AM,2024-08-09T14:43:20+00:00,7:43:20 AM,long,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-09T14:57:37+00:00,7:57:37 AM,2024-08-09T14:57:47+00:00,7:57:47 AM,long,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-09T15:02:43+00:00,8:02:43 AM,2024-08-09T15:02:46+00:00,8:02:46 AM,long,6,6,Full Win,,,,,,,,,
ESU24,$75.00,2024-08-09T15:07:52+00:00,8:07:52 AM,2024-08-09T15:08:02+00:00,8:08:02 AM,long,6,6,Full Win,,,,,,,,,
